0	-127.258	-75.6836
1e-4	-83.313	-75.7141
2e-4	-122.986	-75.531
3e-4	-140.381	-75.6836
4e-4	-97.6563	-75.7141
5e-4	-119.934	-75.8057
6e-4	-137.329	-75.7446
7e-4	-101.318	-75.8057
8e-4	-101.624	-75.7751
9e-4	-137.024	-75.7141
1e-3	-117.188	-75.6836
0.0011	-97.9614	-75.8667
0.0012	-133.057	-75.531
0.0013	-137.329	-75.7141
0.0014	-91.2476	-75.4395
0.0015	-119.934	-75.8667
0.0016	-136.719	-75.6226
0.0017	-105.286	-75.8362
0.0018	-102.539	-75.5615
0.0019	-128.479	-75.6531
0.002	-128.174	-75.6836
0.0021	-87.5854	-75.6226
0.0022	-124.207	-75.7141
0.0023	-137.634	-75.6226
0.0024	-103.149	-75.5005
0.0025	-132.141	-75.7141
0.0026	-130.615	-75.6531
0.0027	-102.539	-75.7141
0.0028	-100.708	-75.5005
0.0029	-119.019	-75.7141
0.003	-113.525	-75.7446
0.0031	-80.8716	-75.6531
0.0032	-120.544	-75.7751
0.0033	-128.174	-75.6531
0.0034	-94.6045	-75.531
0.0035	-122.681	-75.8057
0.0036	-131.531	-75.8057
0.0037	-104.37	-75.8057
0.0038	-108.337	-75.7446
0.0039	-135.803	-75.6836
0.004	-109.253	-75.7141
0.0041	-95.8252	-75.5005
0.0042	-137.634	-75.6531
0.0043	-118.408	-75.592
0.0044	-99.1821	-75.8667
0.0045	-126.038	-75.5615
0.0046	-131.226	-75.7141
0.0047	-89.4165	-75.5615
0.0048	-117.493	-75.7141
0.0049	-134.583	-75.6836
0.005	-98.877	-75.6531
0.0051	-101.624	-75.6836
0.0052	-122.681	-75.6836
0.0053	-118.103	-75.5615
0.0054	-89.4165	-75.6531
0.0055	-117.798	-75.7751
0.0056	-133.362	-75.7446
0.0057	-97.0459	-75.5615
0.0058	-111.389	-75.5615
0.0059	-126.648	-75.7141
0.006	-100.403	-75.47
0.0061	-108.948	-75.6531
0.0062	-123.596	-75.7446
0.0063	-120.85	-75.7141
0.0064	-99.7925	-75.8972
0.0065	-126.038	-75.6836
0.0066	-117.493	-75.8057
0.0067	-86.0596	-75.8362
0.0068	-123.291	-75.592
0.0069	-116.577	-75.7751
0.007	-85.4492	-75.6226
0.0071	-120.239	-75.7141
0.0072	-136.414	-75.6531
0.0073	-109.863	-75.7446
0.0074	-85.7544	-75.47
0.0075	-127.869	-75.7141
0.0076	-124.207	-75.6531
0.0077	-91.5527	-75.5005
0.0078	-128.174	-75.8362
0.0079	-139.771	-75.7141
0.008	-108.643	-75.5615
0.0081	-109.863	-75.7751
0.0082	-139.771	-75.6836
0.0083	-103.76	-75.7141
0.0084	-97.9614	-75.6531
0.0085	-128.174	-75.7141
0.0086	-111.389	-75.6531
0.0087	-110.168	-75.8362
0.0088	-130.005	-75.6836
0.0089	-113.525	-75.7141
0.009	-93.3838	-75.8362
0.0091	-111.694	-75.6531
0.0092	-138.245	-75.6531
0.0093	-102.234	-75.6226
0.0094	-116.577	-75.6531
0.0095	-139.771	-75.6531
0.0096	-116.577	-75.7751
0.0097	-98.2666	-75.6836
0.0098	-126.648	-75.8057
0.0099	-110.779	-75.6836
0.01	-83.0078	-75.8362
0.0101	-113.831	-75.592
0.0102	-144.958	-75.6531
0.0103	-95.2148	-75.5615
0.0104	-105.286	-75.7446
0.0105	-129.7	-75.6226
0.0106	-94.2993	-75.6836
0.0107	-92.4683	-75.6226
0.0108	-139.16	-75.7446
0.0109	-129.395	-75.7141
0.011	-93.9941	-75.8057
0.0111	-131.531	-75.531
0.0112	-133.057	-75.7141
0.0113	-106.201	-75.6836
0.0114	-117.493	-75.6531
0.0115	-137.329	-75.6836
0.0116	-109.863	-75.7751
0.0117	-103.149	-75.6531
0.0118	-133.057	-75.7141
0.0119	-122.07	-75.592
0.012	-86.9751	-75.47
0.0121	-134.888	-75.6226
0.0122	-118.713	-75.6836
0.0123	-97.3511	-75.9277
0.0124	-120.544	-75.5615
0.0125	-140.076	-75.7446
0.0126	-112.61	-75.8362
0.0127	-100.403	-75.8362
0.0128	-146.179	-75.7446
0.0129	-119.324	-75.8057
0.013	-95.2148	-75.7751
0.0131	-127.563	-75.7141
0.0132	-122.681	-75.592
0.0133	-94.6045	-75.7446
0.0134	-133.057	-75.8057
0.0135	-139.465	-75.7141
0.0136	-111.084	-75.8057
0.0137	-105.591	-75.7751
0.0138	-133.667	-75.6836
0.0139	-114.136	-75.6531
0.014	-100.403	-75.8057
0.0141	-137.634	-75.6226
0.0142	-126.953	-75.6531
0.0143	-96.7407	-75.7751
0.0144	-120.239	-75.6531
0.0145	-140.686	-75.7141
0.0146	-100.098	-75.6531
0.0147	-116.882	-75.6836
0.0148	-133.667	-75.6836
0.0149	-113.22	-75.7141
0.015	-100.708	-75.7751
0.0151	-134.583	-75.7141
0.0152	-123.596	-75.7141
0.0153	-91.5527	-75.531
0.0154	-132.446	-75.8667
0.0155	-126.953	-75.7751
0.0156	-92.4683	-75.6531
0.0157	-126.343	-75.5615
0.0158	-136.719	-75.8057
0.0159	-97.3511	-75.6226
0.016	-111.389	-75.6836
0.0161	-137.939	-75.6226
0.0162	-107.727	-75.7751
0.0163	-100.098	-75.8057
0.0164	-140.686	-75.5615
0.0165	-130.615	-75.7141
0.0166	-86.3647	-75.7141
0.0167	-126.038	-75.8057
0.0168	-132.141	-75.7141
0.0169	-126.038	-75.5005
0.017	-129.089	-75.8057
0.0171	-136.414	-75.6531
0.0172	-118.713	-75.7141
0.0173	-97.3511	-75.5615
